KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,21016,0.0
2,20,0.0,22494,0.0
3,20,0.0,24552,0.0
4,20,0.0,21372,0.0
5,20,0.0,22749,0.0
6,20,0.015625,20362,0.0
7,20,0.0,41076,0.0
8,20,0.0,19257,0.0
9,20,0.0,41118,0.0
10,20,0.0,21720,0.0
11,20,0.015625,16139,0.0
12,20,0.0,20673,0.0
13,20,0.0,21676,0.0
14,20,0.0,17932,0.0
15,20,0.0,20096,0.0
16,20,0.0,27025,0.0
17,20,0.015625,24172,0.0
18,20,0.0,29860,0.0
19,20,0.0,19116,0.0
20,20,0.0,16886,0.0
21,20,0.015625,30929,0.0
22,20,0.0,21059,0.0
23,20,0.0,32529,0.0
24,20,0.0,24766,0.0
25,20,0.0,29867,0.0
26,20,0.0,22984,0.0
27,20,0.0,17724,0.0
28,20,0.0,17471,0.0
29,20,0.0,20329,0.0
30,20,0.0,36664,0.0
31,20,0.0,21115,0.0
32,20,0.0,21005,0.0
33,20,0.015625,19932,0.0
34,20,0.0,31395,0.0
35,20,0.0,18267,0.0
36,20,0.0,35163,0.0
37,20,0.0,31891,0.0
38,20,0.0,23657,0.0
39,20,0.0,19956,0.0
40,20,0.0,25330,0.0
41,20,0.0,18364,0.0
42,20,0.015625,18853,0.0
43,20,0.0,19228,0.0
44,20,0.0,26787,0.0
45,20,0.0,33677,0.0
46,20,0.015625,23953,0.0
47,20,0.0,24662,0.0
48,20,0.0,27907,0.0
49,20,0.0,28781,0.0
50,20,0.015625,33561,0.0
