KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,15400,0.0
2,20,0.0,19248,0.0
3,20,0.0,20473,0.0
4,20,0.015625,19078,0.0
5,20,0.0,31394,0.0
6,20,0.0,22426,0.0
7,20,0.015625,29447,0.0
8,20,0.0,23916,0.0
9,20,0.0,27172,0.0
10,20,0.0,18742,0.0
11,20,0.0,19498,0.0
12,20,0.015625,15084,0.0
13,20,0.0,16878,0.0
14,20,0.0,28237,0.0
15,20,0.0,20330,0.0
16,20,0.0,22203,0.0
17,20,0.015625,18406,0.0
18,20,0.0,34524,0.0
19,20,0.0,30399,0.0
20,20,0.015625,15821,0.0
21,20,0.0,18026,0.0
22,20,0.0,20131,0.0
23,20,0.0,18257,0.0
24,20,0.0,19645,0.0
25,20,0.0,34715,0.0
26,20,0.0,23529,0.0
27,20,0.0,29919,0.0
28,20,0.0,23461,0.0
29,20,0.0,23066,0.0
30,20,0.0,23423,0.0
31,20,0.0,18644,0.0
32,20,0.0,19610,0.0
33,20,0.0,23029,0.0
34,20,0.0,19957,0.0
35,20,0.0,21820,0.0
36,20,0.015625,29840,0.0
37,20,0.0,25413,0.0
38,20,0.0,24599,0.0
39,20,0.0,31718,0.0
40,20,0.0,24645,0.0
41,20,0.0,25865,0.0
42,20,0.0,41600,0.0
43,20,0.0,34693,0.0
44,20,0.015625,29145,0.0
45,20,0.0,37491,0.0
46,20,0.0,31599,0.0
47,20,0.0,17316,0.0
48,20,0.0,36878,0.0
49,20,0.0,22755,0.0
50,20,0.0,31664,0.0
