KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,0,0.0
2,20,0.0,0,0.055900621118012424
3,20,0.0,0,0.012269938650306749
4,20,0.0,0,0.03981481481481482
5,20,0.0,0,0.04099142040038131
6,20,0.0,0,0.0043782837127845885
7,20,0.0,0,0.0035971223021582736
8,20,0.0,0,0.03057199211045365
9,20,0.0,0,0.038606403013182675
10,20,0.0,0,0.0027958993476234857
11,20,0.0,0,0.05771144278606965
12,20,0.0,0,0.08720379146919431
13,20,0.0,0,0.02197802197802198
14,20,0.0,0,0.03759398496240601
15,20,0.0,0,0.04666666666666667
16,20,0.0,0,0.0
17,20,0.0,0,0.0
18,20,0.0,0,0.056925996204933584
19,20,0.0,0,0.024635036496350366
20,20,0.0,0,0.008009153318077803
21,20,0.0,0,0.0417036379769299
22,20,0.0,0,0.12037037037037036
23,20,0.0,0,0.033185840707964605
24,20,0.0,0,0.0039447731755424065
25,20,0.0,0,0.05491329479768786
26,20,0.0,0,0.020518358531317494
27,20,0.0,0,0.001755926251097454
28,20,0.0,0,0.0
29,20,0.0,0,0.06181818181818182
30,20,0.0,0,0.013565891472868217
31,20,0.0,0,0.0
32,20,0.0,0,0.07480314960629922
33,20,0.0,0,0.014778325123152709
34,20,0.0,0,0.028699551569506727
35,20,0.0,0,0.005804311774461028
36,20,0.0,0,0.027139874739039668
37,20,0.0,0,0.028518859245630176
38,20,0.0,0,0.01345668629100084
39,20,0.0,0,0.01651376146788991
40,20,0.0,0,0.007866273352999017
41,20,0.0,0,0.006597549481621112
42,20,0.0,0,0.03228476821192053
43,20,0.0,0,0.025465230166503428
44,20,0.0,0,0.012396694214876033
45,20,0.0,0,0.03166986564299424
46,20,0.0,0,0.0070140280561122245
47,20,0.0,0,0.0
48,20,0.0,0,0.02956989247311828
49,20,0.0,0,0.06981519507186858
50,20,0.0,0,9.033423667570009E-4
