KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,0,0.008458285274894272
2,20,0.0,0,0.0
3,20,0.0,0,0.0
4,20,0.0,0,0.005063291139240506
5,20,0.0,0,0.0
6,20,0.0,0,0.0024650780608052587
7,20,0.0,0,0.0
8,20,0.0,0,0.0
9,20,0.0,0,0.0
10,20,0.0,0,0.008863080684596576
11,20,0.0,0,0.0
12,20,0.0,0,0.0
13,20,0.0,0,0.0
14,20,0.0,0,0.0
15,20,0.0,0,0.004124656278643446
16,20,0.0,0,0.0
17,20,0.0,0,0.0
18,20,0.0,0,0.0
19,20,0.0,0,0.0014962593516209476
20,20,0.0,0,0.0
21,20,0.0,0,0.0
22,20,0.0,0,0.0
23,20,0.0,0,0.0
24,20,0.0,0,6.618133686300463E-4
25,20,0.0,0,0.0
26,20,0.0,0,0.0
27,20,0.0,0,0.0
28,20,0.0,0,0.0028938906752411574
29,20,0.0,0,0.0
30,20,0.0,0,0.0
31,20,0.0,0,0.0
32,20,0.0,0,0.0
33,20,0.0,0,0.0
34,20,0.0,0,0.004518072289156626
35,20,0.0,0,0.0
36,20,0.0,0,0.0
37,20,0.0,0,0.0
38,20,0.0,0,0.0010302197802197802
39,20,0.0,0,0.013626040878122634
40,20,0.0,0,0.0
41,20,0.0,0,0.001934984520123839
42,20,0.0,0,0.0
43,20,0.0,0,0.0
44,20,0.0,0,0.0
45,20,0.0,0,0.00971198928332217
46,20,0.0,0,0.0
47,20,0.0,0,0.0
48,20,0.0,0,0.010071338648762064
49,20,0.0,0,0.007166318303971335
50,20,0.0,0,0.0
