KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,0,0.0
2,20,0.0,0,0.10869565217391304
3,20,0.0,0,0.1
4,20,0.0,0,0.0
5,20,0.0,0,0.0
6,20,0.0,0,0.03636363636363636
7,20,0.0,0,0.037037037037037035
8,20,0.0,0,0.06756756756756757
9,20,0.0,0,NaN
10,20,0.0,0,0.0
11,20,0.0,0,0.0
12,20,0.0,0,0.0
13,20,0.0,0,0.0
14,20,0.0,0,0.07894736842105263
15,20,0.0,0,NaN
16,20,0.0,0,0.047619047619047616
17,20,0.0,0,0.0
18,20,0.0,0,0.1728395061728395
19,20,0.0,0,0.11363636363636363
20,20,0.0,0,0.0
21,20,0.0,0,0.023809523809523808
22,20,0.0,0,0.1125
23,20,0.0,0,0.07692307692307693
24,20,0.0,0,0.0196078431372549
25,20,0.0,0,0.0
26,20,0.0,0,0.013333333333333334
27,20,0.0,0,0.013333333333333334
28,20,0.0,0,NaN
29,20,0.0,0,0.0
30,20,0.0,0,0.10975609756097561
31,20,0.0,0,0.0
32,20,0.0,0,0.3333333333333333
33,20,0.0,0,0.0
34,20,0.0,0,0.1111111111111111
35,20,0.0,0,0.0
36,20,0.0,0,0.0
37,20,0.0,0,0.12658227848101267
38,20,0.0,0,0.05
39,20,0.0,0,0.16666666666666666
40,20,0.0,0,0.05333333333333334
41,20,0.0,0,0.022727272727272728
42,20,0.0,0,0.0
43,20,0.0,0,0.14893617021276595
44,20,0.0,0,0.18604651162790697
45,20,0.0,0,0.03896103896103896
46,20,0.0,0,0.08888888888888889
47,20,0.0,0,0.0
48,20,0.0,0,0.0410958904109589
49,20,0.0,0,0.0
50,20,0.0,0,0.0
