FormulaId,NumberOfClauses,CpuTime,RelativeError
0373,20,0.03125,0.0
0491,20,0.03125,0.06097560975609756
0250,20,0.046875,0.0
0371,20,0.015625,0.0
0369,20,0.03125,0.0
0249,20,0.015625,0.0
0125,20,0.015625,0.0
0246,20,0.03125,0.12727272727272726
0488,20,0.015625,0.3652173913043478
0126,20,0.03125,0.0
0368,20,0.015625,0.17647058823529413
0123,20,0.015625,0.0
0245,20,0.0625,0.06779661016949153
0121,20,0.015625,0.0
0363,20,0.03125,0.0
0129,20,0.015625,0.0
0262,20,0.03125,0.0
0263,20,0.015625,0.5066666666666667
0384,20,0.046875,0.08536585365853659
0381,20,0.03125,0.0
0140,20,0.03125,0.009900990099009901
0380,20,0.03125,0.0
0138,20,0.03125,0.0
0139,20,0.015625,0.8059701492537313
0136,20,0.015625,0.0
0378,20,0.03125,0.0
0499,20,0.03125,0.031914893617021274
0379,20,0.015625,0.0
0376,20,0.03125,0.0
0497,20,0.015625,0.0
0135,20,0.03125,0.0
0498,20,0.015625,0.0
0374,20,0.03125,0.09090909090909091
0133,20,0.03125,0.0
0496,20,0.015625,0.20212765957446807
0152,20,0.03125,0.0
0394,20,0.03125,0.0
0395,20,0.015625,0.0
0150,20,0.03125,0.0
0392,20,0.03125,0.0
0272,20,0.046875,0.0
0390,20,0.03125,0.0
0147,20,0.046875,0.0
0148,20,0.015625,0.0
0266,20,0.03125,0.0
0387,20,0.03125,0.0
0146,20,0.03125,0.25555555555555554
0267,20,0.015625,0.14634146341463414
0386,20,0.03125,0.0
0284,20,0.015625,0.0
0285,20,0.015625,0.0
0280,20,0.03125,0.0
0160,20,0.015625,0.0
0159,20,0.015625,0.0
0278,20,0.03125,0.0
0155,20,0.03125,0.0
0295,20,0.015625,0.0
0293,20,0.015625,0.0
0173,20,0.03125,0.0
0292,20,0.015625,0.4666666666666667
0167,20,0.0625,0.0
0289,20,0.015625,0.0
0165,20,0.03125,0.0
0286,20,0.046875,0.0
0287,20,0.015625,0.0
0186,20,0.03125,0.0
0183,20,0.03125,0.18181818181818182
0182,20,0.015625,0.0
0180,20,0.03125,0.0
0299,20,0.015625,0.3230769230769231
0297,20,0.0625,0.09876543209876543
0298,20,0.03125,0.0
0196,20,0.015625,0.0
0192,20,0.0625,0.10144927536231885
0193,20,0.015625,0.0
0191,20,0.015625,0.0
0188,20,0.03125,0.0
0908,20,0.046875,0.0
0906,20,0.015625,0.0
0901,20,0.015625,0.0
0900,20,0.015625,0.31343283582089554
0918,20,0.03125,0.0
0919,20,0.03125,0.0
0914,20,0.03125,0.0
0913,20,0.015625,0.0
01,20,0.015625,0.0
05,20,0.0625,0.0
07,20,0.015625,0.0
0920,20,0.03125,0.0
0806,20,0.015625,0.0
0807,20,0.046875,0.14457831325301204
0928,20,0.03125,0.0
0925,20,0.015625,0.0
0926,20,0.046875,0.0
0923,20,0.03125,0.0641025641025641
0921,20,0.015625,0.0
0801,20,0.03125,0.0
0930,20,0.015625,0.0
0810,20,0.046875,0.0
0931,20,0.015625,0.0
0817,20,0.03125,0.0
0814,20,0.046875,0.0
0811,20,0.015625,0.0
0933,20,0.078125,0.0
0709,20,0.015625,0.0
0941,20,0.03125,0.1044776119402985
016,20,0.03125,0.14782608695652175
019,20,0.015625,0.08256880733944955
0707,20,0.03125,0.0
0949,20,0.015625,0.34375
0705,20,0.03125,0.0
0948,20,0.015625,0.0
0703,20,0.046875,0.0
0945,20,0.0625,0.0
0704,20,0.03125,0.0
0946,20,0.015625,0.0
0944,20,0.0625,0.0
020,20,0.03125,0.46511627906976744
021,20,0.015625,0.0
022,20,0.0625,0.0
0831,20,0.015625,0.0
0952,20,0.03125,0.0
024,20,0.03125,0.0
0830,20,0.03125,0.0
026,20,0.0625,0.01834862385321101
027,20,0.015625,0.0
0839,20,0.03125,0.0
0719,20,0.046875,0.06493506493506493
0717,20,0.046875,0.0
0838,20,0.03125,0.0
0714,20,0.015625,0.0
0956,20,0.046875,0.0
0836,20,0.03125,0.0
0957,20,0.03125,0.0851063829787234
0833,20,0.046875,0.0
0834,20,0.015625,0.11538461538461539
0955,20,0.03125,0.3611111111111111
030,20,0.015625,0.0
0722,20,0.015625,0.0
035,20,0.015625,0.0
0961,20,0.015625,0.23333333333333334
036,20,0.03125,0.0
039,20,0.046875,0.0
0609,20,0.0625,0.010869565217391304
0727,20,0.015625,0.0
0848,20,0.046875,0.0
0846,20,0.015625,0.09090909090909091
0967,20,0.03125,0.046511627906976744
0726,20,0.015625,0.05357142857142857
0968,20,0.046875,0.0
043,20,0.015625,0.0
0611,20,0.03125,0.0
0853,20,0.015625,0.0
0974,20,0.015625,0.0
045,20,0.015625,0.0
0612,20,0.0625,0.0
0854,20,0.015625,0.0
0610,20,0.015625,0.0
0852,20,0.015625,0.0
0973,20,0.03125,0.0
049,20,0.015625,0.0
0738,20,0.015625,0.0
0859,20,0.03125,0.2857142857142857
0618,20,0.03125,0.0
0736,20,0.046875,0.0
0857,20,0.03125,0.012987012987012988
0737,20,0.015625,0.0
0855,20,0.03125,0.0
0976,20,0.078125,0.0
0977,20,0.03125,0.0
052,20,0.015625,0.0
053,20,0.03125,0.0
0501,20,0.015625,0.0
0622,20,0.03125,0.0
0864,20,0.03125,0.056818181818181816
0985,20,0.015625,0.0
057,20,0.015625,0.0
0500,20,0.03125,0.0
058,20,0.015625,0.0
0981,20,0.015625,0.0
0740,20,0.015625,0.0
0982,20,0.015625,0.0
0628,20,0.03125,0.14285714285714285
0508,20,0.015625,0.0
0505,20,0.03125,0.0
0989,20,0.015625,0.39473684210526316
0869,20,0.0625,0.06493506493506493
0503,20,0.015625,0.0
0745,20,0.03125,0.0
0988,20,0.015625,0.05825242718446602
060,20,0.03125,0.0
065,20,0.015625,0.08571428571428572
0633,20,0.03125,0.2328767123287671
0754,20,0.015625,0.15476190476190477
0513,20,0.015625,0.0898876404494382
0634,20,0.03125,0.3466666666666667
068,20,0.015625,0.0
0994,20,0.03125,0.2
0511,20,0.03125,0.265625
069,20,0.015625,0.0
0753,20,0.03125,0.0
0874,20,0.015625,0.2222222222222222
0750,20,0.03125,0.0
0872,20,0.03125,0.2826086956521739
0993,20,0.03125,0.0
0870,20,0.03125,0.04040404040404041
0877,20,0.015625,0.0
0998,20,0.03125,0.0
0636,20,0.03125,0.0
0890,20,0.03125,0.0
073,20,0.015625,0.0
075,20,0.015625,0.26136363636363635
0523,20,0.03125,0.0
0644,20,0.015625,0.0
0765,20,0.046875,0.0
077,20,0.0625,0.0
0886,20,0.03125,0.0
0645,20,0.03125,0.3333333333333333
079,20,0.015625,0.0
0882,20,0.015625,0.0
0641,20,0.03125,0.0
0648,20,0.015625,0.0
0646,20,0.015625,0.0
0888,20,0.015625,0.16853932584269662
0526,20,0.03125,0.0
0647,20,0.015625,0.0
0768,20,0.03125,0.0
081,20,0.03125,0.0
082,20,0.03125,0.0
085,20,0.015625,0.0
086,20,0.015625,0.0
0534,20,0.03125,0.22988505747126436
0655,20,0.015625,0.58
0414,20,0.03125,0.0
0656,20,0.03125,0.0
0777,20,0.015625,0.0
089,20,0.03125,0.031746031746031744
0898,20,0.015625,0.5
0411,20,0.03125,0.0
0532,20,0.0625,0.05128205128205128
0653,20,0.0625,0.0
0412,20,0.03125,0.0
0530,20,0.015625,0.13861386138613863
0772,20,0.015625,0.0
0652,20,0.03125,0.0
0773,20,0.03125,0.14492753623188406
0891,20,0.09375,0.0
0771,20,0.03125,0.0
0417,20,0.015625,0.12195121951219512
0659,20,0.03125,0.0
0418,20,0.015625,0.2644628099173554
0539,20,0.03125,0.4430379746835443
0415,20,0.03125,0.0
0778,20,0.03125,0.050505050505050504
0779,20,0.03125,0.09090909090909091
0670,20,0.015625,0.0
093,20,0.078125,0.0
094,20,0.03125,0.0
098,20,0.03125,0.2972972972972973
0545,20,0.015625,0.0
0787,20,0.046875,0.34615384615384615
099,20,0.078125,0.0
0304,20,0.046875,0.2403846153846154
0425,20,0.03125,0.0
0788,20,0.015625,0.1595744680851064
0543,20,0.015625,0.0
0665,20,0.03125,0.15217391304347827
0420,20,0.078125,0.02247191011235955
0783,20,0.015625,0.0
0300,20,0.03125,0.08450704225352113
0542,20,0.015625,0.0
0784,20,0.03125,0.0
0660,20,0.03125,0.0
0781,20,0.046875,0.0
0540,20,0.015625,0.0
0661,20,0.03125,0.0
0428,20,0.03125,0.05714285714285714
0308,20,0.015625,0.0
0305,20,0.015625,0.06741573033707865
0426,20,0.03125,0.0
0547,20,0.03125,0.0
0668,20,0.03125,0.25287356321839083
0306,20,0.015625,0.0
0427,20,0.03125,0.0
0548,20,0.03125,0.0
0669,20,0.03125,0.0
0680,20,0.03125,0.0
0681,20,0.03125,0.0
0435,20,0.09375,0.0
0798,20,0.03125,0.0
0799,20,0.015625,0.0
0675,20,0.046875,0.0
0313,20,0.03125,0.0
0434,20,0.140625,0.0
0676,20,0.046875,0.0
0552,20,0.171875,0.10112359550561797
0673,20,0.046875,0.0
0794,20,0.046875,0.0
0553,20,0.078125,0.0
0795,20,0.046875,0.0
0671,20,0.046875,0.0
0430,20,0.015625,0.5084745762711864
0672,20,0.03125,0.0
0793,20,0.015625,0.16
0318,20,0.015625,0.12844036697247707
0439,20,0.046875,0.0
0437,20,0.03125,0.0
0317,20,0.03125,0.13043478260869565
0204,20,0.046875,0.0
0325,20,0.046875,0.0
0446,20,0.046875,0.24561403508771928
0688,20,0.109375,0.671875
0205,20,0.046875,0.0
0447,20,0.03125,0.0
0202,20,0.015625,0.0
0203,20,0.09375,0.0
0687,20,0.03125,0.0
0200,20,0.03125,0.0
0440,20,0.03125,0.24615384615384617
0682,20,0.03125,0.2
0209,20,0.0625,0.0
0206,20,0.015625,0.00909090909090909
0327,20,0.015625,0.10526315789473684
0207,20,0.046875,0.0
0460,20,0.015625,0.14754098360655737
0581,20,0.03125,0.0
0340,20,0.015625,0.0
0580,20,0.03125,0.0
0457,20,0.046875,0.0
0578,20,0.046875,0.0
0699,20,0.015625,0.1111111111111111
0213,20,0.03125,0.0
0211,20,0.015625,0.0
0574,20,0.03125,0.0
0695,20,0.015625,0.0
0575,20,0.015625,0.0
0330,20,0.03125,0.0
0572,20,0.046875,0.056179775280898875
0693,20,0.03125,0.0
0452,20,0.03125,0.0
0694,20,0.046875,0.0
0338,20,0.046875,0.0
0339,20,0.03125,0.0
0472,20,0.03125,0.0
0593,20,0.015625,0.0
0591,20,0.015625,0.0
0226,20,0.03125,0.0
0589,20,0.015625,0.0
0348,20,0.03125,0.0
0224,20,0.078125,0.0
0345,20,0.03125,0.26436781609195403
0466,20,0.078125,0.0
0587,20,0.046875,0.09210526315789473
0104,20,0.015625,0.0
0346,20,0.03125,0.21052631578947367
0588,20,0.046875,0.0
0222,20,0.03125,0.2672413793103448
0343,20,0.03125,0.0
0220,20,0.03125,0.16176470588235295
0462,20,0.015625,0.0
0100,20,0.03125,0.0
0584,20,0.015625,0.0
0109,20,0.03125,0.0
0228,20,0.046875,0.0
0349,20,0.015625,0.0
0108,20,0.03125,0.3958333333333333
0241,20,0.015625,0.0
0483,20,0.03125,0.2125
0481,20,0.0625,0.014492753623188406
0116,20,0.03125,0.0
0358,20,0.03125,0.0
0117,20,0.03125,0.0
0114,20,0.015625,0.0
0598,20,0.0625,0.0
0115,20,0.0625,0.39705882352941174
0236,20,0.03125,0.0
0357,20,0.015625,0.0
0599,20,0.0625,0.0
0233,20,0.03125,0.0
0475,20,0.046875,0.0
0596,20,0.03125,0.0
0476,20,0.03125,0.0
0597,20,0.03125,0.0
0232,20,0.03125,0.0
0353,20,0.03125,0.0
0595,20,0.03125,0.0
