FormulaId,NumberOfClauses,CpuTime,RelativeError
0130,20,0.03125,0.0
0372,20,0.015625,0.0
0131,20,0.015625,0.0
0373,20,0.015625,0.0
0370,20,0.03125,0.0
0371,20,0.03125,0.0
0127,20,0.03125,0.0
0369,20,0.03125,0.0
0128,20,0.015625,0.0
0125,20,0.03125,0.0
0367,20,0.015625,0.0
0126,20,0.03125,0.0
0368,20,0.015625,0.0
0123,20,0.03125,0.0
0365,20,0.015625,0.0
0124,20,0.015625,0.0
0366,20,0.046875,0.0
0121,20,0.015625,0.0
0363,20,0.015625,0.0
0122,20,0.03125,0.0
0364,20,0.046875,0.0
0129,20,0.03125,0.0
0141,20,0.015625,0.0
0383,20,0.015625,0.0
0142,20,0.03125,0.0
0384,20,0.0625,0.0
0381,20,0.03125,0.0
0140,20,0.03125,0.0
0382,20,0.03125,0.0
0380,20,0.03125,0.0
0138,20,0.015625,0.0
0139,20,0.03125,0.0
0136,20,0.03125,0.0
0378,20,0.015625,0.0
0137,20,0.03125,0.019112962509188924
0379,20,0.03125,0.0
0134,20,0.03125,0.0
0376,20,0.015625,0.0
0135,20,0.015625,0.0
0377,20,0.015625,0.0
0132,20,0.03125,0.0
0374,20,0.015625,0.03577586206896552
0133,20,0.03125,0.0
0375,20,0.03125,0.0
0152,20,0.03125,0.0
0394,20,0.03125,0.0
0153,20,0.015625,0.001808972503617945
0395,20,0.03125,0.0
0150,20,0.046875,0.0
0392,20,0.03125,0.0
0151,20,0.046875,0.0
0393,20,0.015625,0.0
0390,20,0.0,0.0
0391,20,0.03125,0.0
0149,20,0.046875,0.0
0147,20,0.0625,0.0
0389,20,0.03125,0.0
0148,20,0.015625,0.0
0145,20,0.046875,0.0
0387,20,0.03125,0.0
0146,20,0.03125,0.06829584075093058
0388,20,0.015625,0.0
0143,20,0.03125,0.0
0385,20,0.03125,0.0
0144,20,0.0625,0.0
0386,20,0.03125,0.0
0163,20,0.046875,0.0
0164,20,0.046875,0.0
0161,20,0.03125,0.0
0162,20,0.03125,0.0
0160,20,0.03125,0.0
0158,20,0.0,0.0
0159,20,0.015625,0.0
0156,20,0.03125,0.0
0398,20,0.03125,0.0
0157,20,0.03125,0.0
0399,20,0.015625,0.0
0154,20,0.03125,0.0
0396,20,0.015625,0.0
0155,20,0.015625,0.0
0397,20,0.015625,0.0
0174,20,0.015625,0.0
0175,20,0.015625,0.0
0172,20,0.015625,0.0
0173,20,0.046875,0.0
0170,20,0.015625,0.0
0171,20,0.03125,0.0
0169,20,0.03125,0.0
0167,20,0.015625,0.0
0168,20,0.015625,0.0
0165,20,0.015625,0.0
0166,20,0.03125,0.0
0185,20,0.03125,0.0
0186,20,0.03125,0.0
0183,20,0.03125,0.0
0184,20,0.03125,0.0
0181,20,0.015625,0.0
0182,20,0.015625,0.0
0180,20,0.0,0.0
0178,20,0.03125,0.0
0179,20,0.015625,0.0
0176,20,0.015625,0.0
0177,20,0.03125,0.0
0196,20,0.03125,0.0
0197,20,0.0,0.0
0194,20,0.03125,0.0
0195,20,0.015625,0.0
0192,20,0.03125,0.0
0193,20,0.03125,0.0
0190,20,0.015625,0.0
0191,20,0.03125,0.0
0189,20,0.015625,0.004156967076820751
0187,20,0.03125,0.0
0188,20,0.015625,0.0
0198,20,0.03125,0.0
0199,20,0.015625,0.0
0808,20,0.015625,0.0
0809,20,0.03125,0.0
0806,20,0.015625,0.0
0807,20,0.015625,0.0
0804,20,0.03125,0.0
0805,20,0.03125,0.0
0802,20,0.046875,0.0
0803,20,0.015625,0.0
0800,20,0.015625,0.0
0801,20,0.03125,0.0
0819,20,0.046875,0.0
0810,20,0.03125,0.0
01000,20,0.046875,0.0
0817,20,0.015625,0.0
0818,20,0.015625,0.0
0815,20,0.015625,0.0
0816,20,0.03125,0.0
0813,20,0.015625,0.0
0814,20,0.03125,0.0
0811,20,0.015625,0.0
0812,20,0.03125,0.0
010,20,0.03125,0.0
011,20,0.03125,0.0
0820,20,0.03125,0.0
012,20,0.0,0.0
0821,20,0.03125,0.0
013,20,0.03125,0.0
014,20,0.015625,0.0
015,20,0.046875,0.0
016,20,0.015625,0.0
017,20,0.03125,0.0
018,20,0.015625,0.0
019,20,0.03125,0.006418256373685149
0828,20,0.015625,0.0
0829,20,0.015625,0.0
0826,20,0.03125,0.0
0827,20,0.015625,0.0
0824,20,0.03125,0.0
0825,20,0.015625,0.0
0822,20,0.03125,0.0
0823,20,0.015625,0.06
020,20,0.015625,0.0
021,20,0.015625,0.0
022,20,0.03125,0.0
0831,20,0.015625,0.0
023,20,0.03125,0.0
0832,20,0.03125,0.012515644555694618
024,20,0.03125,0.0
025,20,0.03125,0.001903367496339678
0830,20,0.046875,0.0
026,20,0.015625,0.0
027,20,0.015625,0.0
028,20,0.03125,0.0
029,20,0.03125,0.0
0839,20,0.03125,0.0
0837,20,0.03125,0.06833073322932917
0838,20,0.03125,0.0
0835,20,0.015625,0.0
0836,20,0.03125,0.0
0833,20,0.015625,0.0
0834,20,0.015625,0.0
030,20,0.03125,0.0
031,20,0.03125,0.0
032,20,0.03125,0.0
0600,20,0.015625,0.0
0842,20,0.046875,0.0
034,20,0.015625,0.0
0601,20,0.015625,0.0
0843,20,0.03125,0.0
035,20,0.015625,0.0
0840,20,0.015625,0.0
036,20,0.03125,0.0
0841,20,0.015625,0.0
037,20,0.03125,0.0
038,20,0.03125,0.0
039,20,0.03125,0.0
0608,20,0.015625,0.0
0609,20,0.015625,0.0
0606,20,0.015625,0.0
0848,20,0.046875,0.0927111924367185
0607,20,0.03125,0.0
0849,20,0.015625,0.0
0604,20,0.015625,0.0
0846,20,0.03125,0.0
0605,20,0.03125,0.0
0847,20,0.015625,0.0
0602,20,0.03125,0.0
0844,20,0.03125,0.0
0603,20,0.015625,0.0
0845,20,0.03125,0.0
040,20,0.03125,0.0
041,20,0.03125,0.0
042,20,0.015625,0.0
043,20,0.03125,0.0
044,20,0.03125,0.0
0611,20,0.03125,0.0
0853,20,0.015625,0.0
045,20,0.03125,0.0
0612,20,0.015625,0.0
0854,20,0.03125,0.013008130081300813
046,20,0.03125,0.0
0851,20,0.015625,0.006031363088057901
047,20,0.03125,0.0
0610,20,0.03125,0.0
0852,20,0.015625,0.0
048,20,0.03125,0.0
049,20,0.03125,0.0
0850,20,0.015625,0.0
0619,20,0.03125,0.0
0617,20,0.03125,0.0
0859,20,0.015625,0.0
0618,20,0.015625,0.0
0615,20,0.03125,0.0
0857,20,0.03125,0.0
0616,20,0.015625,0.0
0858,20,0.03125,0.0
0613,20,0.03125,0.022988505747126436
0855,20,0.03125,0.0
0614,20,0.03125,0.0
0856,20,0.03125,0.0
050,20,0.015625,0.0
051,20,0.03125,0.0
052,20,0.03125,0.0
053,20,0.015625,0.0
054,20,0.03125,0.0
055,20,0.015625,0.0
0622,20,0.0,0.0776932318782539
0864,20,0.03125,0.0
056,20,0.03125,0.0
0623,20,0.015625,0.0
0865,20,0.015625,0.0
057,20,0.03125,0.0
0620,20,0.03125,0.0027063599458728013
0862,20,0.015625,0.0
058,20,0.03125,0.0
0621,20,0.015625,0.0
0863,20,0.03125,0.0
059,20,0.015625,0.0
0860,20,0.015625,0.0
0861,20,0.015625,0.0
0628,20,0.0,0.0
0629,20,0.015625,0.0
0626,20,0.03125,0.0
0868,20,0.015625,0.0
0627,20,0.015625,0.0
0869,20,0.015625,0.0
0624,20,0.015625,0.0
0866,20,0.03125,0.0
0625,20,0.03125,0.0
0867,20,0.015625,0.0
060,20,0.015625,0.0
061,20,0.015625,0.0
062,20,0.03125,0.0
063,20,0.015625,0.0
064,20,0.03125,0.0
065,20,0.03125,0.0
0633,20,0.03125,0.0
066,20,0.03125,0.0
0875,20,0.03125,0.0
0634,20,0.0,0.0
067,20,0.03125,0.0
0876,20,0.015625,0.0
0631,20,0.03125,0.0
068,20,0.03125,0.0
0873,20,0.03125,0.0
0632,20,0.015625,0.0
069,20,0.015625,0.0
0874,20,0.0,0.0
0871,20,0.015625,0.0
0630,20,0.03125,0.0
0872,20,0.015625,0.0077343039126478615
0870,20,0.03125,0.0
0639,20,0.015625,0.0
0637,20,0.015625,0.0
0879,20,0.015625,0.0
0638,20,0.03125,0.0
0635,20,0.015625,0.0
0877,20,0.015625,0.0
0636,20,0.015625,0.0
0878,20,0.03125,0.0
070,20,0.015625,0.0
071,20,0.03125,0.0
072,20,0.015625,0.011284434118818453
073,20,0.03125,0.0
074,20,0.03125,0.0
075,20,0.015625,0.0
076,20,0.015625,0.0
0402,20,0.03125,0.0
0644,20,0.015625,0.0
0886,20,0.015625,0.0
0403,20,0.03125,0.0
0645,20,0.03125,0.0
078,20,0.03125,0.0
0887,20,0.03125,0.0
0400,20,0.03125,0.0
0642,20,0.03125,0.001083815028901734
079,20,0.015625,0.0
0884,20,0.015625,0.0
0401,20,0.03125,0.0
0643,20,0.015625,0.01229946524064171
0885,20,0.03125,0.0
0640,20,0.015625,0.0
0882,20,0.03125,0.0
0641,20,0.03125,0.0
0883,20,0.03125,0.0
0880,20,0.015625,0.0
0881,20,0.03125,0.03677000720980533
0408,20,0.015625,0.0
0409,20,0.03125,0.0
0406,20,0.015625,0.0
0648,20,0.03125,0.0
0407,20,0.015625,0.0
0649,20,0.03125,0.0
0404,20,0.015625,0.0
0646,20,0.015625,0.0
0888,20,0.03125,0.0
0405,20,0.015625,0.0
0647,20,0.03125,0.0
0889,20,0.015625,0.0
080,20,0.015625,0.011099079588521927
081,20,0.03125,0.0
082,20,0.03125,0.03418079096045198
083,20,0.015625,0.0
084,20,0.015625,0.0
085,20,0.015625,0.0
086,20,0.015625,0.0
087,20,0.015625,0.0
0413,20,0.03125,0.0
0655,20,0.046875,0.0
0897,20,0.015625,0.008026755852842809
0414,20,0.03125,0.0
0656,20,0.03125,4.366812227074236E-4
089,20,0.03125,0.0
0898,20,0.015625,0.01764014112112897
0411,20,0.0,0.0
0653,20,0.046875,0.0
0895,20,0.03125,0.0
0412,20,0.03125,0.0509513060303128
0654,20,0.03125,0.0
0896,20,0.015625,0.0
0651,20,0.015625,0.0
0893,20,0.0,0.0
0410,20,0.03125,0.0
0652,20,0.03125,0.0
0894,20,0.015625,0.0
0891,20,0.015625,0.0
0650,20,0.03125,0.0
0892,20,0.03125,0.0
0419,20,0.015625,0.0
0417,20,0.03125,0.0
0659,20,0.03125,0.0
0418,20,0.03125,0.0
0415,20,0.015625,0.0
0657,20,0.03125,0.0
0899,20,0.03125,0.0
0416,20,0.03125,0.0
0658,20,0.015625,0.0
090,20,0.03125,0.0
091,20,0.015625,0.0
0670,20,0.0,0.0
092,20,0.03125,0.0
093,20,0.03125,0.0
094,20,0.03125,0.0
095,20,0.03125,0.014450014744913005
096,20,0.03125,0.0
097,20,0.015625,0.0
098,20,0.03125,0.0
0424,20,0.015625,0.00489077274209325
0666,20,0.015625,0.0
099,20,0.015625,0.0
0425,20,0.046875,0.0
0667,20,0.015625,0.0
0422,20,0.03125,0.0
0664,20,0.015625,0.0
0423,20,0.015625,0.0
0665,20,0.03125,0.0
0420,20,0.03125,0.0
0662,20,0.015625,0.0
