FormulaId,NumberOfClauses,CpuTime,RelativeError
0274,50,0.421875,0.0
0470,50,0.28125,0.0
0369,50,0.203125,0.0
012,50,0.21875,0.0
0821,50,0.203125,0.2916862492888416
0920,50,0.296875,0.0027363970442960445
0620,50,0.34375,0.0
0642,50,0.1875,0.020641676276910246
036,50,0.265625,0.02547623374692286
0665,50,0.234375,0.022417649631765922
0863,50,0.328125,0.019293823589297123
0123,50,0.546875,0.003628964591374392
0882,50,0.265625,0.0063293593098769025
0441,50,0.203125,0.11542405405290411
0485,50,0.25,0.1712527950284792
0987,50,0.171875,0.0
0405,50,0.15625,0.0
0768,50,0.46875,0.08848133082772347
0241,50,0.171875,0.01439775999490908
0655,50,0.125,0.005682573932577628
0897,50,0.1875,0.00206186741395121
0139,50,0.1875,0.0
0414,50,0.21875,0.0
0832,50,0.171875,0.0
024,50,0.15625,0.009105243630967104
0434,50,0.4375,0.0
0133,50,0.171875,0.09681625419330338
0430,50,0.15625,0.007363384914405323
0452,50,0.125,0.05887573627857406
0672,50,0.140625,0.0010140889148345861
0879,50,0.140625,0.0
0957,50,0.140625,0.01157250660371028
0613,50,0.34375,0.010247884028970687
0954,50,0.125,0.00952292728114868
