,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SalePrice,SqrtLotArea,LogLotArea,SqrtMasVnrArea,LogMasVnrArea,SqrtBsmtFinSF1,LogBsmtFinSF1,SqrtBsmtFinSF2,LogBsmtFinSF2,SqrtBsmtUnfSF,LogBsmtUnfSF,SqrtTotalBsmtSF,LogTotalBsmtSF,Sqrt1stFlrSF,Log1stFlrSF,Sqrt2ndFlrSF,Log2ndFlrSF,SqrtLowQualFinSF,LogLowQualFinSF,SqrtGrLivArea,LogGrLivArea,SqrtGarageArea,LogGarageArea,SqrtWoodDeckSF,LogWoodDeckSF,SqrtOpenPorchSF,LogOpenPorchSF,SqrtPoolArea,LogPoolArea
1344,1345,60,85.0,11103,7,5,2006,2006,0.0,0,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2006.0,2,440,0,0,0,0,0,0,7,2007,11.95655945119582,105.3707739366092,9.315060682746585,0.0,0.0,0.0,0.0,0.0,0.0,26.981475126464083,6.591673732008658,26.981475126464083,6.591673732008658,26.981475126464083,6.591673732008658,26.981475126464083,6.591673732008658,0.0,0.0,38.157568056677825,7.284134806195205,20.97617696340303,6.089044875446846,0.0,0.0,0.0,0.0,0.0,0.0
265,266,20,78.0,12090,6,6,1981,1981,210.0,588,228,606,1422,1422,0,0,1422,0,0,2,0,3,1,7,1,1981.0,2,576,276,0,0,0,0,0,6,2008,12.075400019877522,109.95453605922768,9.400216653174247,14.491376746189438,5.351858133476067,24.24871130596428,6.3784261836515865,15.0996688705415,5.43372200355424,24.61706725018234,6.408528791059498,37.70941526992961,7.260522598089852,37.70941526992961,7.260522598089852,0.0,0.0,0.0,0.0,37.70941526992961,7.260522598089852,24.0,6.3578422665081,16.61324772583615,5.6240175061873385,0.0,0.0,0.0,0.0
997,998,20,0.0,11717,6,6,1970,1970,571.0,0,0,1442,1442,1442,0,0,1442,0,0,2,0,2,1,6,1,1970.0,2,615,371,0,0,0,0,0,2,2009,12.128116509451258,108.2450922675019,9.368881400104733,23.895606290697042,6.349138991379798,0.0,0.0,0.0,0.0,37.97367509209505,7.274479558773871,37.97367509209505,7.274479558773871,37.97367509209505,7.274479558773871,0.0,0.0,0.0,0.0,37.97367509209505,7.274479558773871,24.79919353527449,6.423246963533519,19.261360284258224,5.918893854273146,0.0,0.0,0.0,0.0
824,825,20,81.0,11216,8,5,2006,2006,0.0,0,0,1489,1489,1489,0,0,1489,0,0,2,0,3,1,7,1,2006.0,2,776,0,140,0,0,0,0,6,2006,12.357079818283598,105.90561835898981,9.325185763645223,0.0,0.0,0.0,0.0,0.0,0.0,38.58756276314948,7.306531398939505,38.58756276314948,7.306531398939505,38.58756276314948,7.306531398939505,0.0,0.0,0.0,0.0,38.58756276314948,7.306531398939505,27.85677655436824,6.655440350367647,0.0,0.0,11.832159566199232,4.948759890378168,0.0,0.0
985,986,190,68.0,10880,5,5,1950,1950,0.0,1040,0,124,1164,1164,0,0,1164,1,0,1,0,3,1,5,0,1950.0,1,240,0,48,0,0,0,0,8,2008,11.736077016252437,104.30723848324239,9.294773427951013,0.0,0.0,32.2490309931942,6.947937068614969,0.0,0.0,11.135528725660043,4.8283137373023015,34.11744421846396,7.060476365999801,34.11744421846396,7.060476365999801,0.0,0.0,0.0,0.0,34.11744421846396,7.060476365999801,15.491933384829668,5.484796933490655,0.0,0.0,6.928203230275509,3.8918202981106265,0.0,0.0
1158,1159,20,92.0,11932,8,5,2007,2008,186.0,0,0,1580,1580,1580,0,0,1580,0,0,2,0,3,1,7,0,2008.0,3,830,0,24,0,0,0,0,6,2008,12.367889578686164,109.23369443537099,9.387062950369655,13.638181696985855,5.231108616854587,0.0,0.0,0.0,0.0,39.74921382870358,7.365812837209472,39.74921382870358,7.365812837209472,39.74921382870358,7.365812837209472,0.0,0.0,0.0,0.0,39.74921382870358,7.365812837209472,28.809720581775867,6.7226297948554485,0.0,0.0,4.898979485566356,3.2188758248682006,0.0,0.0
1124,1125,80,0.0,9125,7,5,1992,1992,170.0,0,0,384,384,812,670,0,1482,0,0,2,1,3,1,7,1,1992.0,2,392,100,25,0,0,0,0,7,2007,12.007017865994577,95.524865872714,9.118882761487347,13.038404810405298,5.14166355650266,0.0,0.0,0.0,0.0,19.595917942265423,5.953243334287785,19.595917942265423,5.953243334287785,28.495613697550013,6.70073110954781,25.88435821108957,6.508769136971682,0.0,0.0,38.49675310984031,7.301822342137932,19.79898987322333,5.973809611869261,10.0,4.61512051684126,5.0,3.258096538021482,0.0,0.0
378,379,20,88.0,11394,9,2,2010,2010,350.0,1445,0,411,1856,1856,0,0,1856,1,0,1,1,1,1,8,1,2010.0,3,834,113,0,0,0,0,0,6,2010,12.885204569609956,106.74268124794318,9.340929941679784,18.708286933869708,5.860786223465865,38.01315561749642,7.27655640271871,0.0,0.0,20.273134932713294,6.021023349349527,43.08131845707603,7.526717561352706,43.08131845707603,7.526717561352706,0.0,0.0,0.0,0.0,43.08131845707603,7.526717561352706,28.879058156387302,6.727431724850855,10.63014581273465,4.736198448394496,0.0,0.0,0.0,0.0
685,686,160,0.0,5062,7,5,1984,1984,0.0,828,182,180,1190,1190,900,0,2090,1,0,2,0,3,1,6,1,1984.0,2,577,219,0,0,0,0,0,9,2007,12.242891437918386,71.14773362518304,8.529714471969909,0.0,0.0,28.77498913987632,6.720220155135295,13.490737563232042,5.209486152841421,13.416407864998739,5.198497031265826,34.49637662132068,7.0825485693553,34.49637662132068,7.0825485693553,30.0,6.803505257608338,0.0,0.0,45.71651780264984,7.645397699428633,24.020824298928627,6.359573868672378,14.798648586948742,5.393627546352362,0.0,0.0,0.0,0.0
563,564,50,66.0,21780,6,7,1918,1950,0.0,0,0,1163,1163,1163,511,0,1674,0,0,2,0,4,1,8,1,1955.0,2,396,72,36,0,0,144,0,7,2008,12.128116509451258,147.58048651498612,9.988793309115229,0.0,0.0,0.0,0.0,0.0,0.0,34.10278580995987,7.059617628291383,34.10278580995987,7.059617628291383,34.10278580995987,7.059617628291383,22.60530911091463,6.238324625039508,0.0,0.0,40.91454509095757,7.423568444259167,19.8997487421324,5.983936280687191,8.48528137423857,4.290459441148391,6.0,3.6109179126442243,0.0,0.0
