fileName,cpuCnt,threadCnt,"S(n,p)","E(n,p)"
saj12,3,5,1.9298,0.6433
saj12,3,10,3.2989,1.0996
saj12,3,15,3.7429,1.2476
saj12,3,20,4.291,1.4303
saj12,4,5,1.8856,0.4714
saj12,4,10,4.1301,1.0325
saj12,4,15,4.8056,1.2014
saj12,4,20,5.2938,1.3234
saj6,3,5,1.1775,0.3925
saj6,3,10,1.7962,0.5987
saj6,3,15,2.1598,0.7199
saj6,3,20,2.2704,0.7568
saj6,4,5,1.1423,0.2856
saj6,4,10,1.8585,0.4646
saj6,4,15,2.128,0.532
saj6,4,20,2.2887,0.5722
saj7,3,5,1.104,0.368
saj7,3,10,1.7416,0.5805
saj7,3,15,2.1334,0.7111
saj7,3,20,2.2523,0.7508
saj7,4,5,1.0991,0.2748
saj7,4,10,1.7318,0.433
saj7,4,15,2.0936,0.5234
saj7,4,20,2.3114,0.5778
